,User,Date Created,Tweet
2875,pikomeong,2022-12-28 03:22:44+00:00,@appreciatde iya bikin anxiety
2876,gragrougri,2022-12-28 03:22:37+00:00,@jadedwind ptdrrrr
2877,MeanMijer,2022-12-28 03:15:10+00:00,@hariryariffin Kakakakaka. Bini aku tanya. Dia minum kopi je jadi anxiety. Ingat nak tukar. Aku baru tau pasal decaf malam tadi
2878,yourloyalsinner,2022-12-28 03:11:42+00:00,bisa jadi kena adhd/panic disorder/anxiety ketika kakinya goyang.
2879,_hxppyfeet,2022-12-28 02:59:16+00:00,Anxiety melambung tinggi.
2880,iheebainu,2022-12-28 02:56:40+00:00,hari hari overthinking dan anxiety ya allah pen meninggal
2881,blssdmen,2022-12-28 02:54:33+00:00,"sejauh ini 2022 berisi nangis, kehilangan diri sendiri, dihancurkan ekspetasi, sakit dan patah hati, insecurity, anxiety, depresi"
2882,sentrakulineria,2022-12-28 02:51:21+00:00,mendung mendung anxiety
2883,findrising,2022-12-28 02:50:20+00:00,"Lagi di service motor tiba-tiba deg-degan, bukan anxiety, tapi takut kaget kena berapa duit."
2884,yullrizky,2022-12-28 02:33:58+00:00,"Punya mood swing,anxiety, overthingking, introvert, plus insecure dalam waktu bersamaan 🆗🆗🆗"
2885,dyyahnordin,2022-12-28 02:29:32+00:00,Boleh anxiety bro hari2 kena pass task urgent dengan kerja sedia ada tak settle HAHAHA
2886,si_syrr,2022-12-28 02:25:13+00:00,"akhir thn 2022 ni,mo buat statement or self reminder motivation,Dah CUKUP 3 thn kmarin(2020-2022)down,stress,kena Anxiety pula,Gila teriak""di dlm diri.but,luarnya brusaha trlihat baik""sja ttep bsa bicara layaknya manusia umumnya,ENOUGH🙌dg smua itu,Aku Berhak Bernafas Kembali🌱."
2887,nudian_reza,2022-12-28 02:11:16+00:00,"@kangfik22 @TWidjodjono @txtdrimedia Gk 100% sembuh. Krn balik lagi stess itu asalnya dri mindset atau beban pikiran, kl salah penanganan atau menyikapinnya bisa 2x lipat tekanan atau si korbannya bakal lebih trauma, lbh insecure, lbh anxiety gitu"
2888,aisyahyp27,2022-12-28 02:10:09+00:00,"Duuuh ini mainan bocah yang viral tea kok suaranya bikin anxiety yaa??
Sumpah ga sukaaaaaaaa"
2889,fYoongies,2022-12-28 02:05:20+00:00,"@convomfs fase apa ya.. gamau ngulang anxiety maybe?
smg taun depan lbh bisa ngontrol diri lagi"
2890,Nirvanahealings,2022-12-28 02:02:00+00:00,"4 langhanams !!!

https://t.co/ahg672ptcS

 #chakras #anxiety #angels #holistic #crystalhealing #happy #healthylifestyle #healthy #vegan #fitness #natural #sad #growth #twinflame #spiritualawakening #beautiful #soul #energyhealing #quotes #organic #holistichealth #faith #therapy https://t.co/MnC2cwSPVN"
2891,pcarhaechanyall,2022-12-28 01:51:46+00:00,"oww yaa ini salah satu yang aku suka dari apin, dia tuh paham aku tipe orang yang feel better with a hug when there's a problem atau aku lagi down gara gara my anxiety, apin ga pernah nolak setiap aku butuh pelukan, dia selalu ngerti kondisi aku lagi badmood/goodmood"
2892,UncleHusain_,2022-12-28 01:38:24+00:00,"Mantap apalah time hujung sem, time xda sda kelas sda baru awal bangun.

Palui.

Awal sampai pertengahan sem tidur pagi bangun petang.😒

Budu anxiety!"
2893,Alep_dan_Paan,2022-12-28 01:24:53+00:00,@itiktakquek Rasa bukan kucing ko yg ade separation anxiety. Tp ko yg ada sebenarnya. Hahahaa
2894,aipsun,2022-12-28 01:13:14+00:00,@dinadimu Ya Allah ada anxiety disorder ya :(
2895,cwimikentang,2022-12-28 01:02:54+00:00,"fase dmn bener2 kaya org anxiety. nangis &amp; ngurung diri, karna suatu hal. semoga tahun depan aku bisa lebih tenang dan ngeyakinin diri sendiri, kalo aku hebat udh bisa ngelewatin itu smua /peluk/"
2896,030903a,2022-12-28 00:38:52+00:00,"anxiety gua tiap di kereta, selalu gabisa tenang https://t.co/ZQHJVDmsUJ"
2897,Tyobian,2022-12-28 00:29:59+00:00,"@ndagels Itu namanya RLS, Restless Leg Syndrom, ada hubungannya sama Anxiety dan Saraf.
Google it."
2898,_AbundantPeace,2022-12-28 00:16:43+00:00,"@chrysantemom Iyes... Ada juga yg utk mengalihkan anxiety, nervous. Mungkin juga ada yg sengaja utk ganggu orang 😅😅"
2899,alusruail,2022-12-28 00:10:33+00:00,@sfajar Anxiety sih biasanya yg micu org lagi kek gt
2900,mepetdinding,2022-12-28 00:05:46+00:00,"pen ke psikolog anjir, anxiety ini..."
2901,recapoftheday,2022-12-27 23:51:53+00:00,"Malam tadi aja sepenuh itu liat dari story orang, gimana tanggal 30 31 lahhh. Haduhhh my anxiety could never kalo harus dapat di tengah atau😭😭"
2902,celinacels,2022-12-27 23:44:16+00:00,Gw udah umur segini juga ttp kintilin emak gw kemana2. Buka mata ga liat dia bs gw cari ampe ke sudut2 rumah. Kalo ga ktm cek zenly nya.. makin tua makin separation anxiety.
2903,dearjeelingg,2022-12-27 23:35:07+00:00,"yaa allah, mulai gejala anxiety"
2904,melinjobinal,2022-12-27 23:34:17+00:00,"Momen niat nulis ini terjadi berkat anxiety gw yg kambuh, drpd ujung2nya gw deg2an or ngeracau gajelas mending gw abisin tuh energy buat nulis, hehehehe"
2905,attwcca,2022-12-27 23:32:33+00:00,Buka wa malah anxiety
2906,mesebelumyou,2022-12-27 23:22:04+00:00,"@sfajar Ada. Bisa anxiety, bisa restless leg syndrome"
2907,rejlinbentstati,2022-12-27 23:13:27+00:00,@lebvdirien khsk  thmd lah ana kan panicki okatjini anxiety okan nsa 3lach ana anxious shno knt baghi ndir 😿
2908,muhammaaadfaiz_,2022-12-27 22:40:49+00:00,"ternyata selama ini anxiety,
huh waktunya naik gunung"
2909,heikzscra,2022-12-27 22:28:13+00:00,anxiety attack berkunjung gr gr haran dipagi hari ini sodara sodara
2910,RilZmri,2022-12-27 21:52:18+00:00,"Ade ibu&amp;ayah kesah bila along depressed,mental issues,anxiety time nak SPM? Ade ke?? Takde kan
Along sembuh dgn diri sndiri,along pergi kluar buat treatment hari ii dgn bantuan kawan ii along sndiri.lagi satu sbb knp,along dah penat.penat hidup.-"
2911,guizuong,2022-12-27 21:10:57+00:00,fixing anxiety issues by drinking alcohol tuh kyk mathematical operation yg two negative things digabung jadi positive
2912,yukwinygy,2022-12-27 21:01:25+00:00,"pukul 03.49 wib disubuh hari saat ayam berkokok rasa gelisah menyelimuti. bagaimana ini?  mengapa aku tak ingin berbagi masalahku? mengapa aku seperti ini? sampai kapan aku seperti ini? telingaku berdenging, jantung ku berdegup kencang,apakah aku sudah terserang anxiety?"
2913,abcdefghijklopi,2022-12-27 19:45:32+00:00,Kalo udah kambuh gini anxiety gw butuh temen buat diajak diskusi apa aja demi mengalihkan pikiran pikiran negatif
2914,keabemodise,2022-12-27 19:35:06+00:00,Emang prle. Le refa anxiety
2915,ziaznlabdn,2022-12-27 19:30:38+00:00,"@naaaalllleyy i pun tktahu tapi mmg kena check la sbb bahaya kalau bagi anxiety ni lama lama , kawan i pun ada anxiety cepat cepat i tenangkan dia btw hope everything went well for you !!!"
2916,user345618882,2022-12-27 19:29:15+00:00,"d-day konserr kann, gue jauh lebih deg2an dansa sama mereka dibandingkan pas bawaiin lagu kita. literally… takut diserang itu gila beneran anxiety pribadi ya tsay"
2917,user345618882,2022-12-27 19:17:33+00:00,"trs mau sesi foto bareng nih, grup gue, grup dia sama tim konten. member grup gue ilang satu, dia lagi kena anxiety attack, dia introvert bgt soalnya dan emang waktu itu agak chaotic karena media partner/fans itu ngerumunin tempat kita istirahat jadi bikin dia kurang nyaman"
2918,renjunspicy,2022-12-27 19:08:49+00:00,"@tanyakanrl 10, 2022 full nangis, ovt, anxiety, capek, hilang motivasi hidup, insecure, pengen d word, cape bgt anjg guee"
2919,eajparkyeochin,2022-12-27 19:05:48+00:00,"ini mah keknya lumayan banyak sih, emg trauma gue keknya ada di rumah semua makanya pas pulang begini bukannya seneng malah anxiety"
2920,JanRicoh09,2022-12-27 19:05:00+00:00,anxiety at sakit ng dibdib lagi bago matulog ba🤷🏻‍♂️
2921,fyfahmad,2022-12-27 19:00:32+00:00,the last time kene sebb laki ? agak bodoh la but start dri situ idk theres something trigger sial this anxiety. pastu tadi tgk vid nisa tu nfjdjsndn see laki dia nmpk baik end up maxmtu weh sumoah sesak sial nafas
2922,bukanmixuee,2022-12-27 18:58:49+00:00,"@FWBESS Aku dulu kira bakal bipolar karena tiba2 bisa nangis kejer, nanti bisa happy banget mood swingku cepet. Tapi 3 bulan berobat dg diagnosa anxiety membaik nder.  Dulu aku datang ke faskes 1 sampe ke psikiater sendirian nder, saking aku ga mau orang lain tau aku sakit."
2923,syierarararara,2022-12-27 18:57:14+00:00,"Turn off gila ye bila kita cakap orang in circle kita ada anxiety or mental health issue dkt someone, then someone tu cakap “ohh ***** pun ada masalah jgk. Buat relax je”.  Allahu, no words from me. Niat kita nak mnta tolong tengokkan orang tu. I’m done!"
2924,hakku_me,2022-12-27 18:48:04+00:00,@miekusut *pdhal juga krna emg social anxiety wkwk
2925,dissstraughtt,2022-12-27 18:43:20+00:00,haha anxiety? apa tu haha entahlah abang  redah je lah dik
2926,massferdy,2022-12-27 18:35:53+00:00,"@sbyfess Lagian ngedate ngajak temen, ada org kaya gitu, siap2 kamu ovt anxiety terus setiap saat."
2927,gastritisacid,2022-12-27 18:35:09+00:00,"Kesan buruk sampingan kafien kepada badan:

1. Menyebabkan jantung berdegup laju.
2. Menjadi punca kecil awal kepada serangan panik dan kebimbangan (anxiety).
3. Menyebabkan anxiety semakin teruk dan akan mengakibatkan serangan panik kerap berlaku.
4. Menyebabkan gerd (gastrik)."
2928,tiaraputrianant,2022-12-27 18:26:22+00:00,"@sfajar Reducing anxiety, kak. Suka refleks ky gitu, bukan yg disengaja banget. Kalo aku sih gitu🥲"
2929,unprdctblgvrl,2022-12-27 18:12:09+00:00,kayanya damai banget kalo bisa jalanin semuanya tanpa ada anxiety ya
2930,wichests,2022-12-27 18:05:54+00:00,Nenen ialah obat anxiety yang ampuh
2931,arya06731961,2022-12-27 18:05:23+00:00,@tanyarajhans7 Mai itna introvert hu ki Meko ek do anxiety attack aa hi jaata 1st seat mila to.
2932,mizadez,2022-12-27 17:59:23+00:00,@razaksyarif Duh abis nnton adegan tranplantasi wajah tu anxiety ku kambuh gatau knp cemas aj pkoknya ☹️
2933,Tabindaali14,2022-12-27 17:54:27+00:00,@Fahad4014 Sub ko hee hota hai yeh depression anxiety... Ignore kary aur busy rahy.. Aik Alp khaye aur subha fresh uhthay 🙃🙃 mosam ki waja sy bhi hai
2934,livingthefate,2022-12-27 17:49:42+00:00,Stop publish cerita sedih tentang orangtua meninggal anjjiingggg gasengaja kebaca 1 skrg gue pusing karena anxiety attack
2935,masalehdar,2022-12-27 17:46:20+00:00,like bhai anxiety horahi mei SAT score sar pe maarun?
2936,daimanfiqolbi,2022-12-27 17:36:45+00:00,"Buat masa ni Azam aku utk tahun 2023
1) nak khatam quran sebanyak yg boleh
2) nak hbs kan sesi OT utk anxiety dan murung aku ni dgn jayanya

Yg lain nnti pelan2 tambah"
2937,yuzhambali,2022-12-27 17:28:27+00:00,@princesfarahhh @ayeen_muhammad So far blm kena... minta tidak la sbb selalu baca bila org yg ada panic attacks n anxiety nie...can be worse... yuz hadap depression  dlm diam ... I'm not telling  anyone  but yuz handle sendiri problem yuz... takes time jugak la..
2938,otikkk,2022-12-27 17:26:26+00:00,At this age diranking bukan jadi motivasi malan bikin anxiety.
2939,ursoooocuteee,2022-12-27 17:13:53+00:00,Kya msla hai ajeeb nai kro priv qt meine kya kiya hai anxiety hoti hai mjhe
2940,ggogobebe,2022-12-27 17:02:34+00:00,Klo di instagram harus haha hihi anxiety happy kiyowo
2941,meera_suffian,2022-12-27 16:52:44+00:00,@MuhammadHaziq_ Weh bahaya tu sampai anxiety. Eh kenapa kene extend pulak?
2942,farahhdayana,2022-12-27 16:47:23+00:00,@ayeen_muhammad @yuzhambali Sama je Kalo ade panic attack mesti ade anxiety..Kalo dia dtg ermmm
2943,ayeen_muhammad,2022-12-27 16:45:31+00:00,@princesfarahhh @yuzhambali Panic attacks &amp; anxiety dedua ni payah.. tetiba Je kalau serang habislahhh
2944,najwatir,2022-12-27 16:45:22+00:00,"Karena khawatir akan suara derit pintu ruang kendali yang keras, kamu gunakan triplek untuk menghalangi penglihatan dari luar ke dalam. ""Anjing anxiety gue naik denger segala teriakan ini. "" Nazly menengok ke dua temannya yang ikut masuk ke ruang kendali. Mereka juga mematung."
2945,InnerInsightsX,2022-12-27 16:42:16+00:00,@mufaddal_vohra Mufa anxiety hori h ab 🥴 jldi btao team kb aayegi 😭😭
2946,SeifSheriff,2022-12-27 16:41:41+00:00,Ana 3ndi moshkela en ana kol ma klm hd bhes en ana t2eel 3ala el sha5s dah.. el anxiety btb2a mgnena mayteny
2947,AiNiFa,2022-12-27 16:39:05+00:00,kopi + anxiety = tak leh tido mlm
2948,HudaAhmad,2022-12-27 16:36:02+00:00,"Demam pun depa suruh mai kerja, takat anxiety attack apa la sangat. 🤡 punya management."
2949,_kupokisses,2022-12-27 16:20:40+00:00,@breaded_anxiety Hi bb!
2950,floredolescent,2022-12-27 16:20:15+00:00,baru menit ke 5 gw dh anxiety
2951,emeraldafz,2022-12-27 16:20:07+00:00,"@literarybase hujan

tp ini bikin gw anxiety soal masa depan bumi but seruuu bgt sensasi emosinya naik turun wowkoakaowkowkw"
2952,itznyaaw,2022-12-27 16:16:40+00:00,"@darjofess Aku, turun 10 kg+
Tapi setelah itu diagnosed major depression disorder mixed anxiety. Tutorial e golek pacar trus toxic dan abusive relationship+pacarmu kudu posesif banget. Sama-sama"
2953,saufina_,2022-12-27 16:09:18+00:00,"kalo lagi apes kena triple syndrome sekaligus: premenstrual, period, post-menstrual syndrome misalnya masing-masing seminggu, dalam sebulan cuma sisa seminggu ngejalanin hari-hari normal tanpa anxiety. bayangin lagi kalo ketiban siklus pendek 🙃"
2954,devil_imbad,2022-12-27 16:06:52+00:00,Bdn dah shaking but still insert cannula  kat patient yg tgh sakit gila2. Serius susah bagi i. Let me heal my anxiety first.
2955,devil_imbad,2022-12-27 16:06:51+00:00,I nervous gila bunyi ambulance. Padahal keje dkt hospital. I fobia betul jaga patient kritikal. Rasa nak tercabut jantug tahu tak. Entahlah maybe sebab anxiety i tak fully heal lagi. Sebab tu i resign. Sbb susah nk fight my own anxiety while saving life.
2956,PRIYAGU21927858,2022-12-27 16:06:03+00:00,@SarahWaqar07 yeh sab dekh kar anxiety ho rhi
2957,sipalingnoelle,2022-12-27 15:55:34+00:00,"@notyourbssns Syukur syukur blm pernah jatoh akunya. Parkir sih kadang bikin anxiety, sengaja cari parkir yang biar motor sendiri ga kehimpit atau susah keluarinnya. Takut rusakin atau diperhatiin klo mindah mindahin motor orang 😢"
2958,MuhdZEirfan,2022-12-27 15:55:13+00:00,"""Dah nak sampai penghujung dah ni, semua kekayaan bumi nak keluar. Ramai orang jadi kaya nanti, rezeki anak anak kita semua dah tertulis""

This sentences gave me hope, relief, anxiety &amp; depression"
2959,ommouthu,2022-12-27 15:47:52+00:00,"sadar anxiety resesi is real gegara abis liat wishlist tokped yg bisa langsung sold out pas tahun 2017-2019 tapi sekarang gak kunjung2 ""stok habis"""
2960,aaaimiaqilah,2022-12-27 15:45:31+00:00,okay saya dah anxiety kalau kena naik bas pegi kl sebab takde single seat dah😭😭😭
2961,michinfree,2022-12-27 15:45:20+00:00,"@BetawiKorea Jujur, rasa was-was/deg-degan gaakan membantu kita ketemu jodoh gasih kak? Malah bakal bikin kita cemas dan bahkan mungkin mempengaruhi keputusan kita, apalagi penilaian terhadap orang lain.

(Suara hati orang yg abis recklessly let someone coming to her life just out of anxiety)"
2962,panggilaja_puy,2022-12-27 15:44:57+00:00,@anxiety_mbrk Sepupu kan ga masuk KK
2963,Syubidupp,2022-12-27 15:43:49+00:00,Kenapa yahhh perasaan senang selalu dibarengi perasaan anxiety ???
2964,anxiety_mbrk,2022-12-27 15:35:03+00:00,"@panggilaja_puy W kira w, ipin sama sujis udah fix jadi sepupu lu"
2965,anxiety_mbrk,2022-12-27 15:33:54+00:00,Ga mau mikirin tapi kepikiran itu jadi konsep jalannya kehidupan yang paling anjing. Selamat meneruskan kehidupan ini ya ki.🤝
2966,https_hawra,2022-12-27 15:31:01+00:00,Paling ga enak kalau anxiety kambuh di luar
2967,am8bis,2022-12-27 15:30:08+00:00,"udah anxiety dichat boss pas lagi libur takutnya ada kerjaan gue yang salah, taunya dikasih voucher🤣 https://t.co/mSXxU9BCSB"
2968,fyrnanrkive,2022-12-27 15:25:03+00:00,"penyumbatan darah ke otak gue kambuh, pusing, anxiety kumat, punggung sakit semua, asam urat di lutut, gampang kesemutan, dll 👍🏻"
2969,tide_of_hadean,2022-12-27 15:15:41+00:00,Emang tengah malam ini waktunya stress + anxiety memuncak 😔
2970,Fethar,2022-12-27 15:02:22+00:00,"@farttur Sama di jaman beliau beban hidup, stress, anxiety yang sekarang saya rasakan ga ada sama sekali"
2971,Syaera021,2022-12-27 14:55:31+00:00,"Penat la hidup mcm ni😢... Teringin nk ade kawan mcm org lain, hangout sama²..tapi tula introvert+social anxiety, mcm mne nk buat kawan.."
2972,inamohd,2022-12-27 14:52:37+00:00,"@fiihazmii Banjir 
Tempat gelap - especially bila berjalan
Mesej dari makcik - yg tk rapat - hahahaah! Anxiety terus nmpk nama dja whatsapp uhuhuhu"
2973,PehleeDafaa,2022-12-27 14:50:47+00:00,"@iamneha2 Anxiety attack kya mera dimaag toh abhi bhi wahi pe atka hua hai
KD ka face aankhon ke saamne aa raha baar baar😭😭"
2974,Syaera021,2022-12-27 14:50:44+00:00,"I really hate myself!!rasa diri ni langsung x brguna..dahla muka buruk, bodoh plak tu..ade social anxiety, selalu x confident..xde kawan.. nk keluar jalan² xde duit...💔 can I just die?!!"
2975,zrcancer_,2022-12-27 14:46:48+00:00,hidup penuh dengan anxiety tu ga enak
2976,miahijklmno,2022-12-27 14:44:20+00:00,"Kalau dengan kecewa, sedih, kecil hati, tekanan, stress, anxiety lah yang boleh buat aku dekat dengan Kau, selalu ingat Kau, rajin selawat dll. Aku sanggup Ya Allah. Aku sanggup. Tapi bagi aku sedikit kekuatan. Hanya Kau yang Maha Mengetahui hati hambaMu. Aku nda kuat 😭"
2977,nk_pramono,2022-12-27 14:43:35+00:00,"Pas aku bilang seperti itu malah aku disuruh bwt gak gitu, gak aritmia. Ya aku gak bisa wong itu respon tubuh dr anxiety yg aku alami. Rindu sekali bisa beribadah dg damai dan normal seperti kebanyakan orang. Bahkan aku sampe nangis karena susah jg bwt fokus."
2978,sufiathir,2022-12-27 14:38:48+00:00,Aku dh nak dkt 3 minggu lebih mual2 nk muntah especially waktu pagi. Tak tau lah ni stress or anxiety punya nausea.
2979,yanffeine,2022-12-27 14:30:30+00:00,"2023 pengennya sih less anxiety, less ovt, karir jalan terus, gaji naik (amin ga sih), bisa atasin semua masalah pribadi, bisa bikin orang sekitar senang dan puas juga"
2980,vatorvois,2022-12-27 14:30:01+00:00,"kalo libur panjang pas pandemi muak bgt sih jujur, sering kena anxiety dll., tapi lumayan bisa leha-leha"
2981,WhoisAndi_,2022-12-27 14:29:53+00:00,Anxiety menjolak tiap hari tiap bulan
2982,2OOOKIDZ,2022-12-27 14:20:55+00:00,mkmkmk susah buat ga ovt and anxiety soal hal satuni.
2983,Dindasaurus_,2022-12-27 14:20:06+00:00,Fucek deh anxiety
2984,anotherlody,2022-12-27 14:17:02+00:00,semoga gue tidak terkena anxiety attack besok
2985,Butterxpoppy,2022-12-27 14:16:49+00:00,"I dont like attention from social media ,lagi2 kalau tweet naik sebab dulu dah merasa attention tah apa2 .even benda kecik tweet aku naik anxiety mesti ada"
2986,silverosie_,2022-12-27 14:15:27+00:00,Tbl tbl qrt ghoib banyak 😭😭 Takut bgt dijulidin help anxiety dan ovt gw kambuh https://t.co/uPQexcTa2a
2987,gragrougri,2022-12-27 14:12:19+00:00,@alt_Jmargot merci bb
2988,jihyeolmi,2022-12-27 14:10:47+00:00,yoongjae and seoeun got separation anxiety 😭
2989,badgurlshshush,2022-12-27 14:01:00+00:00,Susahlah ada penyakit depression + anxiety ni😌😮‍💨 tapi ramai pesakit depression ckp aq punya depression ni mmg teruk gila🥴🙃
2990,VICE_ID,2022-12-27 14:00:18+00:00,"Langkah pertama, pahami dulu apa sebenarnya yang disebut 'anxiety'. https://t.co/EvzKzp0EEv"
2991,aimrod,2022-12-27 14:00:17+00:00,"@doofensmrtzz Tapi ADHD ada yang primary inattentive, ada yang primary hyperactive sama campur, jadi ya belom tentu kek gitu ADHD bisa jadi anxiety"
2992,bichulae,2022-12-27 13:59:18+00:00,jangan stalk akun anak gw pliz gw mohon GW ANXIETY.
2993,shutuprayna,2022-12-27 13:55:32+00:00,bhai mar war to nahi jaugi itni anxiety se
2994,ckh190304,2022-12-27 13:55:25+00:00,Cara ngilangin anxiety gimana?? Dari kemaren anxiety aku gampang ke trigger:')
2995,mahayonibgs,2022-12-27 13:50:40+00:00,Tolong bedakan antara introvert dgn social anxiety
2996,sadgurllxx,2022-12-27 13:42:01+00:00,"@tanyakanrl Ngaruh, aku di diagnosa anxiety sm psikiater, kalo panik nya kumat. Mules, mual, perih lambung, sama sesek tuh beneran kerasa semua"
2997,pockyenaktau_,2022-12-27 13:40:40+00:00,"anxiety anxiety tai kucing, gue cuma kurang bisa bersosialisasi right?"
2998,saldhiya,2022-12-27 13:37:47+00:00,"ini ada anxiety attack gasi, minggu ini diserang kecemasan berkali kalii anjir"
2999,punyanyakakhee,2022-12-27 13:35:47+00:00,@tanyarlfes gue pengen bisa lepaa dari obat psikiater aka sembuhhhhhh coyyy plis help g enak bgt punya anxiety
3000,punyanyakakhee,2022-12-27 13:33:55+00:00,buangkeee jauh jauh anjing anxiety anxiety apa bangsadddddd
3001,dumbo1510,2022-12-27 13:33:20+00:00,Weh nonton kaya gini aja harusnya. My anxiety would thank me 🥴
3002,lumgne,2022-12-27 13:22:35+00:00,"@Kunichomp Bagiku bikin anxiety parah 😭
Gabisa enjoy eventnya"
3003,izazain,2022-12-27 13:20:44+00:00,@MamatAntiKorup Ada lagi anxiety... Hehehe
3004,ezraymn,2022-12-27 13:13:40+00:00,Oalah gini rasanya financial anxiety
3005,neverlandalien,2022-12-27 13:07:25+00:00,@alfanbaniii wkwkk anxiety kicks in
3006,rennyschee,2022-12-27 13:07:04+00:00,"ok so sebut pisces pisces ke pisces, cause rasa macam sebut dah betul tapi anxiety"
3007,etemzone,2022-12-27 13:06:55+00:00,Gmn caranya opt out dr ngeliat view sih anxiety inducing bgtz
3008,carewful,2022-12-27 12:55:14+00:00,"Yang ngomong lebay sampai buat klarifikasi pakai materai tuh gatau kali ya apa aja yang dilakukan ybs. Ada yang sampai anxiety dan panic attack, ada yang dipaksa sampai terjadi sexual harassement. Dan pengambilan identitas berupa foto asli, foto asli loh ya. 😅"
3009,ulttlemoron,2022-12-27 12:49:16+00:00,salah satu sebab anxiety time driving ni mesti sbb otw nak pergi kerja and kerja tu tak ok and so on.
3010,beetraitven,2022-12-27 12:31:17+00:00,((buka gembok dengan jiwa anxiety yang sangat amat kuat))
3011,sycdift,2022-12-27 12:28:32+00:00,"@ureselfirst Kalo aku ga anxiety sihh, cuma jadi males ulang tahun aja heuu"
3012,janganfollowyeu,2022-12-27 12:21:36+00:00,Alias gw anxiety sama paranoid anjirr ahhh sebell kalo dah panic attack suka ga tau tempat
3013,detikcom,2022-12-27 12:14:55+00:00,"Bintang Bollywood Tunisha Sharma meninggal dunia di lokasi syuting, diduga bunuh diri. Sebelum meninggal, Tunisha sempat mengalami depresi dan anxiety.  https://t.co/4KE9KRX6IR"
3014,detikHealth,2022-12-27 12:14:55+00:00,"Bintang Bollywood Tunisha Sharma meninggal dunia di lokasi syuting, diduga bunuh diri. Sebelum meninggal, Tunisha sempat mengalami depresi dan anxiety.  https://t.co/rODHz3WEnV"
3015,RubanRedde,2022-12-27 12:14:39+00:00,Aku tak nak dah rasa anxiety ni lagi. Tolong la. Tak nak depressed
3016,reivnb,2022-12-27 12:03:54+00:00,"udh gt inner child susah skli di kontrol, aplg klo udh anxiety"
3017,seiiibee,2022-12-27 12:03:02+00:00,@pusenkk w nitip tmn w maenin windtrace krn w anxiety trus dibilang lebay🙏 pdhl w sering dimintain tolong farming👍
3018,eajparkyeochin,2022-12-27 12:02:47+00:00,pulang bukannya seneng malah anxiety
3019,ayuhageda,2022-12-27 12:00:31+00:00,Member anxiety mat memang aku yang bawak kete balik haihhh kan senang dari awal suruh aku je haihhhhh
3020,giltycrnch,2022-12-27 12:00:07+00:00,Bila lah si trumpet ni nak announce date mamamoo. Hari hari boleh jadi anxiety tau tak tengok fb/ig tapi takde news hahahahahhahahahahahahahha
3021,just_nopp,2022-12-27 11:57:01+00:00,"@rhythmgale @moviemenfes katanya si james dia orang nya agak pemalu, trs dia jg pny anxiety nya
dan disana jg dibolehin yg anak² muda ikut atau gak nya seterah mereka gituu"
3022,yuhu_is,2022-12-27 11:53:48+00:00,"yg jelas paling berat oktober - november isinya anxiety, insomnia, ovt thinking, gerd👏 luar biasa alhamdulillah masih idup"
3023,ohmahnoor,2022-12-27 11:51:56+00:00,Anxiety kyun ho rahi hai itni? 😞
3024,BungaTextbook,2022-12-27 11:44:58+00:00,"@tasyambat Anxiety level📈📈📈
Persaudaraan 📉📉📉"
3025,Ellysharozario1,2022-12-27 11:36:26+00:00,"Apa mende pula ni. Pelik pelik la manusia ni ek 😭. I kena catcall punya la anxiety sampai shaking tak boleh drive, ada waniterr yang suka ek 🥹"
3026,minafandi,2022-12-27 11:35:24+00:00,Bila sekali sekala anxiety attack ni aduhh rasa sesak dada nak nangis ada 😭
3027,_nyhazainal,2022-12-27 11:28:55+00:00,paling benci kene anxiety attacks masa tengah bekerja. package + muntah + shaking &amp; sakit kepala ya 🤓🤘 fuhhhh sekarang dah lembik HAHAHA
3028,cuteraawwrr,2022-12-27 11:17:11+00:00,Kenapa tiap pulang naik busway selalu anxiety sih
3029,achabachahunyar,2022-12-27 11:10:20+00:00,Anxiety kamm thi ke dil ke masley bhi agaye ajeeb😭
3030,ureselfirst,2022-12-27 11:06:19+00:00,@sycdift tiap ulang taun anxiety  📈📈📈
3031,chocoisurfav,2022-12-27 11:05:26+00:00,Gara-gara lu anxiety gw balik cokk
3032,effie_mohamad,2022-12-27 11:04:36+00:00,"Thank semua atas doa, nasihat &amp; tips serangan anxiety…
Maaf tak sempat nak reply DM korang.
Jujurnya tadi berdebar, dada rasa sesak, rasa nak muntah, rasa rimas, tangan shaking, rasa nak nangis, pening kepala &amp; rasa serba tak kena.
Still rasa x ok sangat tp dah getting better."
3033,Fyoku2,2022-12-27 11:01:07+00:00,Kalau anxiety dia gak ada okelah.. https://t.co/yRXR6XBJPe
3034,fckdontheinside,2022-12-27 10:54:29+00:00,"udah 2 minggu ga ngerjain skripsi, berasa nabung anxiety."
3035,MrAlizarine,2022-12-27 10:48:13+00:00,dulu nyoba main min3cra4ft diajarin suami. lalu mmbangkitkan anxiety yg tidak sadar jika punya. ini game sepiiiiii sekali. brrrrrrrrrrrr
3036,rosasmare,2022-12-27 10:06:00+00:00,"@tanyakanrl ada namnya gerd anxiety, aku pengidapny ygitu tanagn gemeter, mual, trs ngrasa gelisah mulu, dada detakny kenceng. pinter2 ngendaliin diri sm berpikiri positif aja"
3037,ayuhageda,2022-12-27 09:59:08+00:00,Doakan je lah yang terbaik untuk aku ni kerna sekarang sedang naik kereta yang dipandu oleh orang anxiety 🙏🏻
3038,rasyidddy,2022-12-27 09:53:26+00:00,Bismillah headstart 2023 tanpa anxiety🙏🤏 https://t.co/fFLto4ulgG
